county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero
34025,629185,11.34965,74.34056,7.725874,0.058041956,4.4874125,181291.0,1414.0,2708.0,930.0,191808.0,373099.0,-2.8188228861508606,Swing (Campo de Batalla),2.8188228861508606
34027,498192,12.343,73.003,3.032,0.061,9.679,153881.0,1005.0,2436.0,866.0,141134.0,295015.0,4.3207972475975795,Swing (Campo de Batalla),4.3207972475975795
36007,198093,4.1672726,83.976364,5.7472725,0.20181818,3.4618182,47010.0,432.0,1104.0,1148.0,43800.0,90810.0,3.534852989758837,Swing (Campo de Batalla),3.534852989758837
36023,49043,2.775,92.50833,1.575,0.083333336,0.975,10369.0,113.0,295.0,326.0,10789.0,21158.0,-1.9850647509216373,Swing (Campo de Batalla),1.9850647509216373
36033,51280,2.5285714,83.828575,3.9071429,7.571429,0.43571427,9253.0,77.0,173.0,249.0,9668.0,18921.0,-2.193330162253581,Swing (Campo de Batalla),2.193330162253581
36069,109192,4.808,89.496,2.936,0.16,1.064,29025.0,277.0,987.0,757.0,29039.0,58064.0,-0.024111325434003857,Swing (Campo de Batalla),0.024111325434003857
36071,375384,19.458227,65.62658,9.624051,0.1607595,2.5265822,84684.0,524.0,1388.0,1713.0,84996.0,169680.0,-0.1838755304101839,Swing (Campo de Batalla),0.1838755304101839
36087,320688,16.430769,64.57231,10.806154,0.24,6.1,75802.0,323.0,650.0,1420.0,73186.0,148988.0,1.7558461084114159,Swing (Campo de Batalla),1.7558461084114159
36103,1501373,15.945031,72.326706,6.4863353,0.12763976,3.5987577,368000.0,2066.0,4458.0,7532.0,375821.0,743821.0,-1.0514626502881743,Swing (Campo de Batalla),1.0514626502881743
36113,65180,2.0947368,94.789474,1.0210526,0.16842106,0.7736842,17642.0,204.0,424.0,425.0,17699.0,35341.0,-0.1612857587504598,Swing (Campo de Batalla),0.1612857587504598
37007,26135,2.8833334,44.466667,50.533333,0.18333334,0.9166667,5789.0,14.0,41.0,29.0,5321.0,11110.0,4.212421242124212,Swing (Campo de Batalla),4.212421242124212
37107,58782,6.24,42.62,48.106667,0.30666667,0.52,13605.0,29.0,126.0,59.0,14590.0,28195.0,-3.4935272211385,Swing (Campo de Batalla),3.4935272211385
37117,23729,3.45,48.866665,46.566666,0.46666667,0.16666667,5911.0,13.0,59.0,25.0,6532.0,12443.0,-4.990757855822551,Swing (Campo de Batalla),4.990757855822551
37127,94722,6.85,49.833332,39.566666,0.5611111,0.95555556,25947.0,75.0,287.0,135.0,25827.0,51774.0,0.23177656738903696,Swing (Campo de Batalla),0.23177656738903696
37129,213091,5.1976743,74.218605,17.2,0.43023255,1.1674418,66138.0,362.0,1521.0,478.0,63331.0,129469.0,2.168086568985626,Swing (Campo de Batalla),2.168086568985626
37139,40018,4.83,54.13,38.0,0.1,1.12,9832.0,48.0,161.0,86.0,9770.0,19602.0,0.3162942556881951,Swing (Campo de Batalla),0.3162942556881951
37165,35932,2.8,44.1,38.92857,10.357142,0.82857144,7186.0,31.0,54.0,31.0,7473.0,14659.0,-1.9578415990176683,Swing (Campo de Batalla),1.9578415990176683
37195,81581,10.863158,44.326317,41.978947,0.29473683,0.58947366,20754.0,56.0,245.0,99.0,19581.0,40335.0,2.9081442915582003,Swing (Campo de Batalla),2.9081442915582003
38017,162500,2.4636364,88.621216,3.1515152,1.1454545,2.5878787,40311.0,0.0,2495.0,628.0,42619.0,82930.0,-2.783070059085976,Swing (Campo de Batalla),2.783070059085976
39093,303152,10.771233,76.3274,8.971232,0.19178082,0.8452055,75667.0,0.0,1677.0,573.0,79520.0,155187.0,-2.4828110602047855,Swing (Campo de Batalla),2.4828110602047855
39099,234550,6.484286,67.042854,23.082857,0.27714285,0.6357143,57641.0,0.0,966.0,456.0,59903.0,117544.0,-1.9243857619274485,Swing (Campo de Batalla),1.9243857619274485
39113,533763,2.475658,68.88684,24.015131,0.2111842,1.6519737,135064.0,0.0,3418.0,989.0,129034.0,264098.0,2.2832433414868722,Swing (Campo de Batalla),2.2832433414868722
40109,754480,16.599167,55.650417,16.434584,2.67875,3.11875,141724.0,0.0,5272.0,2694.0,145050.0,286774.0,-1.1597983080753484,Swing (Campo de Batalla),1.1597983080753484
41029,208363,11.585366,82.65854,0.63414633,0.5682927,1.0243902,59478.0,637.0,2168.0,1013.0,63869.0,123347.0,-3.5598757975467583,Swing (Campo de Batalla),3.5598757975467583
41047,323259,23.47069,69.10862,0.90689653,0.65172416,1.6982758,80872.0,844.0,3272.0,1544.0,79002.0,159874.0,1.1696711160038529,Swing (Campo de Batalla),1.1696711160038529
41053,77264,12.125,79.958336,0.75,1.1,1.9916667,22917.0,212.0,981.0,449.0,23732.0,46649.0,-1.7470899697742717,Swing (Campo de Batalla),1.7470899697742717
41057,25430,9.675,86.0,0.2125,0.7875,0.9875,8066.0,89.0,261.0,118.0,8354.0,16420.0,-1.7539585870889158,Swing (Campo de Batalla),1.7539585870889158
41065,25492,17.2,76.1375,0.4125,2.7625,1.175,6604.0,75.0,296.0,120.0,7035.0,13639.0,-3.160055722560305,Swing (Campo de Batalla),3.160055722560305
41071,101119,15.452941,78.1647,0.9588235,0.9588235,1.2352941,27174.0,254.0,1448.0,496.0,29551.0,56725.0,-4.1903922432789775,Swing (Campo de Batalla),4.1903922432789775
42017,626583,4.716197,86.02324,3.715493,0.11197183,3.9225352,204712.0,0.0,4155.0,0.0,187367.0,392079.0,4.423853356083851,Swing (Campo de Batalla),4.423853356083851
42027,157823,2.9709678,86.55484,3.9322581,0.16774194,4.9064517,40055.0,0.0,1066.0,0.0,36372.0,76427.0,4.818977586455048,Swing (Campo de Batalla),4.818977586455048
42049,279858,4.4535213,82.11127,8.784507,0.20985915,1.6154929,68286.0,0.0,1928.0,0.0,66869.0,135155.0,1.0484258813954348,Swing (Campo de Batalla),1.0484258813954348
42095,299616,12.033824,78.43235,4.6294117,0.11911765,2.6220589,85087.0,0.0,2001.0,0.0,83854.0,168941.0,0.7298405952373905,Swing (Campo de Batalla),0.7298405952373905
45017,14958,3.1666667,53.633335,42.2,0.2,0.0,3905.0,18.0,58.0,5.0,4305.0,8210.0,-4.872107186358099,Swing (Campo de Batalla),4.872107186358099
45027,34178,3.1666667,49.208332,46.125,0.09166667,0.28333333,8250.0,42.0,67.0,13.0,8361.0,16611.0,-0.6682318945277226,Swing (Campo de Batalla),0.6682318945277226
45033,31435,2.6,45.383335,46.816666,2.7166667,0.16666667,6436.0,36.0,38.0,9.0,6582.0,13018.0,-1.1215240436318943,Swing (Campo de Batalla),1.1215240436318943
45041,138330,2.3393939,53.645454,41.31818,0.2030303,0.9878788,31153.0,194.0,503.0,45.0,32615.0,63768.0,-2.292685986701794,Swing (Campo de Batalla),2.292685986701794
45053,26549,12.025,45.125,41.025,0.0,0.575,7185.0,32.0,92.0,7.0,7078.0,14263.0,0.7501928065624343,Swing (Campo de Batalla),0.7501928065624343
45065,9895,1.2666667,53.766666,42.766666,0.23333333,0.06666667,2687.0,20.0,28.0,4.0,2958.0,5645.0,-4.800708591674048,Swing (Campo de Batalla),4.800708591674048
46031,4149,0.5,33.75,0.25,64.15,0.35,622.0,0.0,14.0,0.0,647.0,1269.0,-1.9700551615445234,Swing (Campo de Batalla),1.9700551615445234
48043,9235,48.7,48.0,0.96666664,1.3,0.0,2258.0,14.0,89.0,0.0,2461.0,4719.0,-4.301758847213392,Swing (Campo de Batalla),4.301758847213392
48085,862215,14.838816,60.513817,8.676316,0.3375,12.989473,230945.0,1246.0,6075.0,272.0,252318.0,483263.0,-4.42264357089204,Swing (Campo de Batalla),4.42264357089204
48109,2296,78.4,19.2,0.4,0.5,0.0,438.0,2.0,9.0,0.0,415.0,853.0,2.6963657678780772,Swing (Campo de Batalla),2.6963657678780772
48131,11577,88.066666,10.4,0.8666667,0.26666668,0.4,2575.0,13.0,22.0,0.0,2443.0,5018.0,2.630530091669988,Swing (Campo de Batalla),2.630530091669988
48245,252872,19.041666,38.029167,37.3625,0.19861111,3.8541667,46073.0,199.0,897.0,20.0,47570.0,93643.0,-1.59862456350181,Swing (Campo de Batalla),1.59862456350181
48273,32029,71.82,21.98,3.54,0.08,1.92,5314.0,29.0,97.0,0.0,5504.0,10818.0,-1.7563320391939359,Swing (Campo de Batalla),1.7563320391939359
48355,352060,62.362965,30.479012,4.2148147,0.20493828,1.6876544,60925.0,368.0,1404.0,8.0,64617.0,125542.0,-2.9408484809864426,Swing (Campo de Batalla),2.9408484809864426
48439,1914526,28.504213,49.396347,15.321348,0.30337077,4.346629,411567.0,2617.0,10368.0,404.0,409741.0,821308.0,0.2223282860997336,Swing (Campo de Batalla),0.2223282860997336
48491,473592,23.976404,62.820225,6.047191,0.1741573,4.666292,143795.0,790.0,4998.0,243.0,139729.0,283524.0,1.4340937627855137,Swing (Campo de Batalla),1.4340937627855137
50019,27146,1.14,95.86,0.51,0.45,0.48,7757.0,37.0,145.0,417.0,7086.0,14843.0,4.5206494643939905,Swing (Campo de Batalla),4.5206494643939905
51033,29349,3.0857143,64.24286,28.985714,0.3857143,0.7,7657.0,0.0,259.0,36.0,8336.0,15993.0,-4.245607453260802,Swing (Campo de Batalla),4.245607453260802
51057,11151,0.56666666,55.566666,40.666668,0.76666665,0.0,3038.0,0.0,58.0,7.0,3075.0,6113.0,-0.6052674627842304,Swing (Campo de Batalla),0.6052674627842304
