county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional
19061,95906,2.3038461,91.488464,2.2192307,0.08461539,1.2961539,25657.0,125.0,556.0,230.0,27358.0,53015.0,-3.208525888899368,Swing (Campo de Batalla),3.208525888899368,19,Iowa,0.09539388985047859,0.0024021918336704687,0.0023139644026442556,8.822742059933685e-05,0.0013514836402310595,32.81923076923077
19101,17318,3.025,83.775,1.225,0.125,7.25,4319.0,32.0,95.0,37.0,4476.0,8795.0,-1.7851051733939738,Swing (Campo de Batalla),1.7851051733939738,19,Iowa,0.48374523617045856,0.017467374985564152,0.007073565076798707,0.0007217923547753782,0.041863956576971936,36.349999999999994
19163,169994,6.9382977,80.38085,8.1957445,0.24468085,1.9638298,46926.0,209.0,1124.0,382.0,43958.0,90884.0,3.2657013335680647,Swing (Campo de Batalla),3.2657013335680647,19,Iowa,0.047284521806652,0.004081495641022624,0.004821196336341283,0.00014393499182324083,0.001155234772991988,33.3531914893617
20161,75022,8.253846,78.207695,5.6538463,0.3846154,4.4923077,12765.0,0.0,796.0,0.0,11610.0,24375.0,4.7384615384615385,Swing (Campo de Batalla),4.7384615384615385,20,,0.10424634773799686,0.011001900775772438,0.007536251099677428,0.0005126701500893071,0.005987987123777025,39.776923076923076
20177,178792,12.667442,72.1093,8.472093,0.7651163,1.0372093,43015.0,0.0,2199.0,0.0,40443.0,83458.0,3.081789642694529,Swing (Campo de Batalla),3.081789642694529,20,,0.04033139066624905,0.007085016108103271,0.004738519061255537,0.0004279365407848226,0.000580120642981789,33.14418604651163
21073,49778,2.7181818,81.91818,10.981818,0.2090909,1.4454546,12650.0,0.0,365.0,144.0,12900.0,25550.0,-0.9784735812133072,Swing (Campo de Batalla),0.9784735812133072,21,Kentucky,0.16456703764715339,0.00546060870263972,0.022061589457189924,0.0004200468078267508,0.0029038020812407086,36.43636363636364
22047,33229,2.0714285,47.24286,49.285713,0.25714287,0.114285715,8514.0,0.0,141.0,171.0,7893.0,16407.0,3.784969829950631,Swing (Campo de Batalla),3.784969829950631,22,Louisiana,0.14217358331577837,0.006233797285503627,0.14832138493484606,0.000773850762887839,0.00034393365734749766,23.842857142857145
22093,21650,1.5285715,44.842857,53.057144,0.028571429,0.057142857,6510.0,0.0,47.0,79.0,5954.0,12464.0,4.460847240051348,Swing (Campo de Batalla),4.460847240051348,22,Louisiana,0.20712636027713627,0.007060376443418014,0.24506763972286372,0.00013196964896073903,0.0002639392933025404,23.599999999999998
23001,107393,1.7571429,90.685715,1.7392857,0.09642857,0.7,27617.0,603.0,1105.0,768.0,29268.0,56885.0,-2.9023468401160235,Swing (Campo de Batalla),2.9023468401160235,23,,0.08444285474844729,0.001636180104848547,0.0016195522054510071,8.979036808730551e-05,0.0006518115705865373,29.82857142857143
23007,30402,1.3111111,96.31111,0.26666668,0.4,0.44444445,8069.0,183.0,353.0,240.0,8754.0,16823.0,-4.0718064554478985,Swing (Campo de Batalla),4.0718064554478985,23,,0.3167920202618249,0.004312581738043549,0.0008771353200447338,0.0013157029142819552,0.0014618921452536017,28.56666666666667
