county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN
48325,47392,49.7,47.0125,1.6125,0.4125,0.2375,6773.0,45.0,184.0,13.0,15642.0
48327,2182,36.8,58.8,1.2,0.5,0.0,197.0,2.0,6.0,0.0,823.0
48329,151290,42.023075,48.657692,6.003846,0.33846155,1.5230769,12329.0,126.0,777.0,3.0,45624.0
48331,24344,23.8,64.957146,8.157143,0.12857144,0.4857143,2496.0,24.0,72.0,2.0,7984.0
48333,4875,15.8,83.5,0.35,0.0,0.05,271.0,2.0,15.0,0.0,2217.0
48335,9169,34.6,56.75,7.1,0.25,0.3,397.0,1.0,11.0,0.0,2170.0
48337,19478,9.5,87.65,0.21666667,0.25,0.33333334,1097.0,24.0,78.0,5.0,8615.0
48339,502586,22.961018,68.11186,3.6728814,0.30338982,2.2694914,74377.0,526.0,3166.0,92.0,193382.0
48341,22281,51.45,37.35,2.25,0.375,7.5,1062.0,21.0,66.0,0.0,4359.0
48343,12700,9.7,64.36667,23.733334,0.8,0.033333335,1669.0,10.0,36.0,0.0,3872.0
48345,1071,15.0,82.9,1.2,0.3,0.0,46.0,0.0,2.0,0.0,604.0
48347,65531,17.346153,58.96923,20.5,0.3923077,1.5538461,9000.0,83.0,302.0,22.0,17378.0
48349,48118,24.66,59.44,12.96,0.29,0.81,5101.0,53.0,167.0,2.0,13800.0
48351,14231,3.525,72.9,21.95,0.425,0.45,1173.0,5.0,34.0,0.0,4882.0
48353,15061,34.24,59.84,4.06,0.18,0.34,1162.0,10.0,53.0,1.0,4131.0
48355,352060,62.362965,30.479012,4.2148147,0.20493828,1.6876544,60925.0,368.0,1404.0,8.0,64617.0
48357,10642,44.566666,52.466667,0.23333333,0.9,0.6,302.0,3.0,37.0,2.0,2812.0
48359,2071,14.4,72.2,6.1,0.5,0.5,81.0,1.0,10.0,0.0,917.0
48361,83217,6.8761907,80.87143,9.047619,0.44285715,0.9190476,6357.0,51.0,376.0,24.0,29186.0
48363,27921,20.38889,75.12222,2.2777777,0.5888889,0.42222223,2178.0,27.0,101.0,4.0,10179.0
48365,23900,8.3,76.61667,14.2,0.0,0.36666667,2057.0,11.0,57.0,0.0,9326.0
48367,121418,11.852632,83.87369,1.7947369,0.57894737,0.6263158,13017.0,158.0,880.0,28.0,62045.0
48369,10004,62.15,35.95,1.6,0.2,0.0,488.0,4.0,23.0,0.0,2135.0
48371,15807,69.375,26.25,3.275,0.5,0.15,1382.0,21.0,50.0,0.0,3215.0
48373,46113,12.79,73.24,10.23,1.3,0.64,5387.0,50.0,171.0,5.0,18573.0
