county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional,Nodo_Estrategico
27017,35443,1.6142857,86.14286,1.1,7.8142858,0.5857143,10098.0,61.0,231.0,188.0,9791.0,19889.0,1.5435667957162251,Swing (Campo de Batalla),1.5435667957162251,27,Minnesota,0.2430461868352001,0.0045545966763535,0.00310357475383,0.0220474728437209,0.0016525528313066,30.12857142857143,Nodo A (Conocimiento)
27019,95715,3.2947369,91.02105,0.9052632,0.18947369,2.7105262,30774.0,141.0,822.0,615.0,34009.0,64783.0,-4.993593998425513,Swing (Campo de Batalla),4.993593998425513,27,Minnesota,0.0950959097320169,0.0034422367445019,0.0009457903149976,0.0001979561092827,0.0028318719114036,46.16842105263158,Nodo A (Conocimiento)
27027,60879,4.276923,89.53077,1.9230769,1.2230769,1.0,16357.0,101.0,410.0,328.0,15043.0,31400.0,4.1847133757961785,Swing (Campo de Batalla),4.1847133757961785,27,Minnesota,0.1470634701621248,0.0070252845808899,0.0031588509995236,0.0020090292218991,0.0016426025394635,34.13076923076923,Nodo A (Conocimiento)
27075,10750,1.1666666,96.23333,0.1,0.13333334,0.0,3647.0,26.0,78.0,58.0,3393.0,7040.0,3.6079545454545454,Swing (Campo de Batalla),3.6079545454545454,27,Minnesota,0.8951937674418604,0.0108527125581395,0.0009302325581395,0.0012403101395348,0.0,28.96666666666667,Nodo B (Industrial)
27087,5496,2.9,47.25,0.5,40.05,0.45,1112.0,6.0,9.0,35.0,1142.0,2254.0,-1.3309671694764862,Swing (Campo de Batalla),1.3309671694764862,27,Minnesota,0.8597161572052401,0.0527656477438136,0.0090975254730713,0.728711790393013,0.0081877729257641,27.15,Nodo B (Industrial)
27103,33086,3.857143,91.42857,2.1285715,0.2,1.2285714,9622.0,78.0,222.0,185.0,9018.0,18640.0,3.240343347639485,Swing (Campo de Batalla),3.240343347639485,27,Minnesota,0.2763361240403796,0.0116579308468838,0.0064334507042253,0.0006044852807834,0.0037132666384573,38.57142857142857,Nodo A (Conocimiento)
27131,64886,8.246154,84.35384,3.3384616,0.3846154,2.376923,17402.0,115.0,372.0,333.0,17464.0,34866.0,-0.1778236677565536,Swing (Campo de Batalla),0.1778236677565536,27,Minnesota,0.1300031439755879,0.0127086798384859,0.0051451185155503,0.0005927556021329,0.0036632293561014,36.08461538461539,Nodo A (Conocimiento)
27169,51213,2.64,92.06,1.5,0.34,2.37,13333.0,80.0,272.0,261.0,13227.0,26560.0,0.3990963855421687,Swing (Campo de Batalla),0.3990963855421687,27,Minnesota,0.1797590455548396,0.0051549411282291,0.0029289438228574,0.000663893933181,0.0046277312401148,31.99,Nodo A (Conocimiento)
28017,17391,4.1,51.6,43.45,0.05,0.375,3810.0,9.0,75.0,72.0,4175.0,7985.0,-4.571070757670633,Swing (Campo de Batalla),4.571070757670633,28,Mississippi,0.296705192340866,0.0235754125697199,0.2498418722327641,0.000287505031338,0.0021562877350353,18.55,Nodo B (Industrial)
28029,28921,2.6166666,45.15,51.1,0.016666668,0.43333334,6470.0,11.0,58.0,94.0,6250.0,12720.0,1.729559748427673,Swing (Campo de Batalla),1.729559748427673,28,Mississippi,0.1561149337851388,0.0090476352823208,0.1766882196327928,5.762825628436085e-05,0.0014983345665779,27.433333333333334,Nodo B (Industrial)
28061,16588,0.525,44.175,54.75,0.025,0.0,4341.0,6.0,30.0,57.0,4302.0,8643.0,0.4512322110378341,Swing (Campo de Batalla),0.4512322110378341,28,Mississippi,0.2663069688931758,0.003164938509766,0.3300578731613214,0.0001507113576079,0.0,23.8,Nodo B (Industrial)
28087,59699,2.3142858,48.557144,47.214287,0.2857143,0.6785714,13087.0,32.0,182.0,140.0,13800.0,26887.0,-2.6518391787852864,Swing (Campo de Batalla),2.6518391787852864,28,Mississippi,0.0813366120035511,0.0038765905626559,0.0790872326169617,0.0004785914336923,0.0011366545503274,28.5,Nodo B (Industrial)
28093,36385,2.8333333,43.35,53.033333,0.16666667,0.06666667,8057.0,27.0,48.0,119.0,7566.0,15623.0,3.1428022786916725,Swing (Campo de Batalla),3.1428022786916725,28,Mississippi,0.1191425037790298,0.0077870916586505,0.145756034079978,0.000458064229765,0.0001832256974027,22.683333333333334,Nodo B (Industrial)
28107,34373,1.45,47.716667,50.316666,0.033333335,0.05,7403.0,11.0,48.0,105.0,8060.0,15463.0,-4.248852098557848,Swing (Campo de Batalla),4.248852098557848,28,Mississippi,0.1388201989933959,0.0042184272539493,0.1463842725394932,9.697534402001572e-05,0.0001454630087568,29.683333333333334,Nodo B (Industrial)
